model,route,support,tp,fp,fn,tn,precision,recall,f1,route_accuracy,route_accuracy_ci_low,route_accuracy_ci_high
gateway_current,coding_support,100,94,1,6,899,0.989474,0.940000,0.964103,0.940000,0.875230,0.972214
gateway_current,game_ai_guidance,100,62,0,38,900,1.000000,0.620000,0.765432,0.620000,0.522096,0.709026
gateway_current,gameplay_mechanics,100,68,5,32,895,0.931507,0.680000,0.786127,0.680000,0.583372,0.763310
gateway_current,generation_3d,100,93,37,7,863,0.715385,0.930000,0.808696,0.930000,0.862503,0.965681
gateway_current,image_to_3d_generation,100,63,7,37,893,0.900000,0.630000,0.741176,0.630000,0.532203,0.718178
gateway_current,motion_generation,100,100,1,0,899,0.990099,1.000000,0.995025,1.000000,0.963005,1.000000
gateway_current,router_orchestrator,100,97,69,3,831,0.584337,0.970000,0.729323,0.970000,0.915479,0.989746
gateway_current,sound_generation,100,100,0,0,900,1.000000,1.000000,1.000000,1.000000,0.963005,1.000000
gateway_current,text_to_speech,100,100,1,0,899,0.990099,1.000000,0.995025,1.000000,0.963005,1.000000
gateway_current,texture_generation,100,100,2,0,898,0.980392,1.000000,0.990099,1.000000,0.963005,1.000000
