model,route,support,tp,fp,fn,tn,precision,recall,f1,route_accuracy,route_accuracy_ci_low,route_accuracy_ci_high
gateway_current,coding_support,100,9,24,91,876,0.272727,0.090000,0.135338,0.090000,0.048072,0.162264
gateway_current,game_ai_guidance,100,43,39,57,861,0.524390,0.430000,0.472527,0.430000,0.337331,0.527848
gateway_current,gameplay_mechanics,100,3,0,97,900,1.000000,0.030000,0.058252,0.030000,0.010254,0.084521
gateway_current,generation_3d,100,0,9,100,891,0.000000,0.000000,0.000000,0.000000,0.000000,0.036995
gateway_current,image_to_3d_generation,100,79,406,21,494,0.162887,0.790000,0.270085,0.790000,0.700199,0.858345
gateway_current,motion_generation,100,14,0,86,900,1.000000,0.140000,0.245614,0.140000,0.085263,0.221374
gateway_current,router_orchestrator,100,17,215,83,685,0.073276,0.170000,0.102410,0.170000,0.108935,0.255482
gateway_current,sound_generation,100,55,13,45,887,0.808824,0.550000,0.654762,0.550000,0.452444,0.643856
gateway_current,text_to_speech,100,65,0,35,900,1.000000,0.650000,0.787879,0.650000,0.552543,0.736359
gateway_current,texture_generation,100,9,0,91,900,1.000000,0.090000,0.165138,0.090000,0.048072,0.162264
